Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[growth condition]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[organism part]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[growth condition]
gln3(0)_rep1	ERS3594845	SAMEA5806236	Saccharomyces cerevisiae	BY4741	gln3 deletion	SC medium without isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	gln3(0)_rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	516	152.2	P-MTAB-87873	Kyoto university	gln3(0)_rep1	sequencing assay	ERX3472093	gln3_0_rep1_R1.fastq.gz	gln3_0_rep1_R1.fastq.gz	ERR3450094	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/004/ERR3450094/ERR3450094_1.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	gln3 deletion	SC medium without isobutanol
gln3(0)_rep1	ERS3594845	SAMEA5806236	Saccharomyces cerevisiae	BY4741	gln3 deletion	SC medium without isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	gln3(0)_rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	516	152.2	P-MTAB-87873	Kyoto university	gln3(0)_rep1	sequencing assay	ERX3472093	gln3_0_rep1_R2.fastq.gz	gln3_0_rep1_R2.fastq.gz	ERR3450094	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/004/ERR3450094/ERR3450094_2.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	gln3 deletion	SC medium without isobutanol
gln3(0)_rep2	ERS3594846	SAMEA5806237	Saccharomyces cerevisiae	BY4741	gln3 deletion	SC medium without isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	gln3(0)_rep2	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	442	138.8	P-MTAB-87873	Kyoto university	gln3(0)_rep2	sequencing assay	ERX3472094	gln3_0_rep2_R1.fastq.gz	gln3_0_rep2_R1.fastq.gz	ERR3450095	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/005/ERR3450095/ERR3450095_1.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	gln3 deletion	SC medium without isobutanol
gln3(0)_rep2	ERS3594846	SAMEA5806237	Saccharomyces cerevisiae	BY4741	gln3 deletion	SC medium without isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	gln3(0)_rep2	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	442	138.8	P-MTAB-87873	Kyoto university	gln3(0)_rep2	sequencing assay	ERX3472094	gln3_0_rep2_R2.fastq.gz	gln3_0_rep2_R2.fastq.gz	ERR3450095	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/005/ERR3450095/ERR3450095_2.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	gln3 deletion	SC medium without isobutanol
gln3(i-BuOH)_rep1	ERS3594847	SAMEA5806238	Saccharomyces cerevisiae	BY4741	gln3 deletion	SC medium with 1.3% (v/v) isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	gln3(i-BuOH)_rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	442	145.9	P-MTAB-87873	Kyoto university	gln3(i-BuOH)_rep1	sequencing assay	ERX3472095	gln3_iBuOH_rep1_R1.fastq.gz	gln3_iBuOH_rep1_R1.fastq.gz	ERR3450096	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/006/ERR3450096/ERR3450096_1.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	gln3 deletion	SC medium with 1.3% (v/v) isobutanol
gln3(i-BuOH)_rep1	ERS3594847	SAMEA5806238	Saccharomyces cerevisiae	BY4741	gln3 deletion	SC medium with 1.3% (v/v) isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	gln3(i-BuOH)_rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	442	145.9	P-MTAB-87873	Kyoto university	gln3(i-BuOH)_rep1	sequencing assay	ERX3472095	gln3_iBuOH_rep1_R2.fastq.gz	gln3_iBuOH_rep1_R2.fastq.gz	ERR3450096	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/006/ERR3450096/ERR3450096_2.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	gln3 deletion	SC medium with 1.3% (v/v) isobutanol
gln3(i-BuOH)_rep2	ERS3594848	SAMEA5806239	Saccharomyces cerevisiae	BY4741	gln3 deletion	SC medium with 1.3% (v/v) isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	gln3(i-BuOH)_rep2	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	464	140.1	P-MTAB-87873	Kyoto university	gln3(i-BuOH)_rep2	sequencing assay	ERX3472096	gln3_iBuOH_rep2_R1.fastq.gz	gln3_iBuOH_rep2_R1.fastq.gz	ERR3450097	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/007/ERR3450097/ERR3450097_1.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	gln3 deletion	SC medium with 1.3% (v/v) isobutanol
gln3(i-BuOH)_rep2	ERS3594848	SAMEA5806239	Saccharomyces cerevisiae	BY4741	gln3 deletion	SC medium with 1.3% (v/v) isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	gln3(i-BuOH)_rep2	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	464	140.1	P-MTAB-87873	Kyoto university	gln3(i-BuOH)_rep2	sequencing assay	ERX3472096	gln3_iBuOH_rep2_R2.fastq.gz	gln3_iBuOH_rep2_R2.fastq.gz	ERR3450097	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/007/ERR3450097/ERR3450097_2.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	gln3 deletion	SC medium with 1.3% (v/v) isobutanol
WT(0)_rep1	ERS3594849	SAMEA5806240	Saccharomyces cerevisiae	BY4741	wild type genotype	SC medium without isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	WT(0)_rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	486	131.2	P-MTAB-87873	Kyoto university	WT(0)_rep1	sequencing assay	ERX3472097	wt_0_rep1_R1.fastq.gz	wt_0_rep1_R1.fastq.gz	ERR3450098	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/008/ERR3450098/ERR3450098_1.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	wild type genotype	SC medium without isobutanol
WT(0)_rep1	ERS3594849	SAMEA5806240	Saccharomyces cerevisiae	BY4741	wild type genotype	SC medium without isobutanol	12	hour	EFO	UO_0000032	whole organism	whole organism	P-MTAB-87870	Kyoto university	P-MTAB-87869	Kyoto university	P-MTAB-87871	Kyoto university	P-MTAB-87872	Kyoto university	WT(0)_rep1	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	486	131.2	P-MTAB-87873	Kyoto university	WT(0)_rep1	sequencing assay	ERX3472097	wt_0_rep1_R2.fastq.gz	wt_0_rep1_R2.fastq.gz	ERR3450098	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/008/ERR3450098/ERR3450098_2.fastq.gz	P-MTAB-87874	Kyoto university	P-MTAB-87875	Kyoto university	Summary_of_RNA-seq_analysis_of_duplicates.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8175/E-MTAB-8175.processed.1.zip	wild type genotype	SC medium without isobutanol
