"Condition","Category","p.adjust","Count","GeneRatio"
"Fig 5A - Upregulated","Cellular amino acid metabolic process",2.86696244719124e-25,55,"55/206"
"Fig 5A - Upregulated","Cell wall organization or biogenesis",0.00369427358238094,18,"18/206"
"Fig 5A - Upregulated","Membrane lipid biosynthesis",0.327178204943027,17,"17/206"
"Fig 5A - Upregulated","Glycolysis",0.654325670994729,9,"9/206"
"Fig 5A - Downregulated","Glycolysis",7.3148629341472e-12,50,"50/392"
"Fig 5A - Downregulated","Cell wall organization or biogenesis",0.00013873913744106,33,"33/392"
"Fig 5A - Downregulated","Membrane lipid biosynthesis",0.896023389696159,23,"23/392"
"Fig 5A - Downregulated","Cellular amino acid metabolic process",0.989990631033698,13,"13/392"
"Fig 5B - Upregulated","Glycolysis",0.0141531263959932,8,"8/68"
"Fig 5B - Upregulated","Cell wall organization or biogenesis",0.0290835282959647,7,"7/68"
"Fig 5B - Upregulated","Membrane lipid biosynthesis",0.37397646082305,6,"6/68"
"Fig 5B - Upregulated","Cellular amino acid metabolic process",0.901310701885753,2,"2/68"
"Fig 5B - Downregulated","Cellular amino acid metabolic process",3.28719526170103e-36,58,"58/153"
"Fig 5B - Downregulated","Glycolysis",0.939919791620234,4,"4/153"
"Fig 5B - Downregulated","Membrane lipid biosynthesis",0.989822214305621,5,"5/153"
"Fig S7A - Upregulated","Cell wall organization or biogenesis",0.00110563942443064,11,"11/85"
"Fig S7A - Upregulated","Glycolysis",0.0468149684831498,8,"8/85"
"Fig S7A - Upregulated","Membrane lipid biosynthesis",0.0864069610230891,10,"10/85"
"Fig S7A - Upregulated","Cellular amino acid metabolic process",0.194088426899642,7,"7/85"
"Fig S7A - Downregulated","Cell wall organization or biogenesis",8.68910263170789e-06,25,"25/222"
"Fig S7A - Downregulated","Glycolysis",8.96444067920136e-05,24,"24/222"
"Fig S7A - Downregulated","Cellular amino acid metabolic process",0.938227138841713,8,"8/222"
"Fig S7A - Downregulated","Membrane lipid biosynthesis",0.969231475433068,10,"10/222"
"Fig S7B - Upregulated","Cell wall organization or biogenesis",0.259342694603986,3,"3/40"
"Fig S7B - Upregulated","Cellular amino acid metabolic process",0.388097266659828,3,"3/40"
"Fig S7B - Upregulated","Glycolysis",0.858930183233818,1,"1/40"
"Fig S7B - Upregulated","Membrane lipid biosynthesis",0.952132481189465,1,"1/40"
"Fig S7B - Downregulated","Glycolysis",1.20730631804081e-05,20,"20/146"
"Fig S7B - Downregulated","Cell wall organization or biogenesis",0.0560834856197042,11,"11/146"
"Fig S7B - Downregulated","Cellular amino acid metabolic process",0.429182494262022,9,"9/146"
"Fig S7B - Downregulated","Membrane lipid biosynthesis",0.995415242820935,4,"4/146"
